Property Name,URI,Label,Domain,Range,Is Functional,Is Inverse Functional,Inverse Of,Sub-property Of (list),Comment
ActorMembership_ownedActorParameter,https://www.omg.org/spec/SysML#ActorMembership_ownedActorParameter,ownedActorParameter,ActorMembership,PartUsage,Yes,No,,ParameterMembership_ownedMemberParameter,<p>The <code>PartUsage</code> specifying the actor.</p>
AnnotatingElement_ownedAnnotatingRelationship,https://www.omg.org/spec/SysML#AnnotatingElement_ownedAnnotatingRelationship,ownedAnnotatingRelationship,AnnotatingElement,Annotation,Yes,No,Annotation_owningAnnotatingElement,,"<p>The <code>ownedRelationships</code> of this <code>AnnotatingElement</code> that are <code>Annotations</code>, for which this <code>AnnotatingElement</code> is the <code>annotatingElement</code>.</p>"
Annotation_owningAnnotatedElement,https://www.omg.org/spec/SysML#Annotation_owningAnnotatedElement,owningAnnotatedElement,Annotation,Element,Yes,No,,Annotation_annotatedElement | Relationship_owningRelatedElement,"<p>The <code>annotatedElement</code> of this <code>Annotation</code>, when it is also its <code>owningRelatedElement</code>.</p>"
Annotation_owningAnnotatingElement,https://www.omg.org/spec/SysML#Annotation_owningAnnotatingElement,owningAnnotatingElement,Annotation,AnnotatingElement,Yes,No,,Annotation_annotatingElement | Relationship_owningRelatedElement,"<p>The <code>annotatingElement</code> of this <code>Annotation</code>, when it is also its <code>owningRelatedElement</code>.</p>"
Classifier_ownedSubclassification,https://www.omg.org/spec/SysML#Classifier_ownedSubclassification,ownedSubclassification,Classifier,Subclassification,Yes,No,Subclassification_owningClassifier,,"<p>The <code>ownedSpecializations</code> of this <code>Classifier</code> that are <code>Subclassifications</code>, for which this <code>Classifier</code> is the <code>subclassifier</code>.</p>"
ConjugatedPortDefinition_ownedPortConjugator,https://www.omg.org/spec/SysML#ConjugatedPortDefinition_ownedPortConjugator,ownedPortConjugator,ConjugatedPortDefinition,PortConjugation,Yes,No,PortConjugation_conjugatedPortDefinition,,"<p>The <code>PortConjugation</code> that is the <code>ownedConjugator</code> of this <code>ConjugatedPortDefinition</code>, linking it to its <code>originalPortDefinition</code>.</p>"
Conjugation_owningType,https://www.omg.org/spec/SysML#Conjugation_owningType,owningType,Conjugation,Type,Yes,No,,Conjugation_conjugatedType | Relationship_owningRelatedElement,<p>The <code>conjugatedType</code> of this <code>Conjugation</code> that is also its <code>owningRelatedElement</code>.</p>
Definition_ownedAction,https://www.omg.org/spec/SysML#Definition_ownedAction,ownedAction,Definition,ActionUsage,No,No,,Definition_ownedOccurrence,<p>The <code>ActionUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedAllocation,https://www.omg.org/spec/SysML#Definition_ownedAllocation,ownedAllocation,Definition,AllocationUsage,No,No,,Definition_ownedConnection,<p>The <code>AllocationUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedAnalysisCase,https://www.omg.org/spec/SysML#Definition_ownedAnalysisCase,ownedAnalysisCase,Definition,AnalysisCaseUsage,No,No,,Definition_ownedCase,<p>The <code>AnalysisCaseUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedAttribute,https://www.omg.org/spec/SysML#Definition_ownedAttribute,ownedAttribute,Definition,AttributeUsage,No,No,,Definition_ownedUsage,<p>The <code>AttributeUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.<p>
Definition_ownedCalculation,https://www.omg.org/spec/SysML#Definition_ownedCalculation,ownedCalculation,Definition,CalculationUsage,No,No,,Definition_ownedAction,<p>The <code>CalculationUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedCase,https://www.omg.org/spec/SysML#Definition_ownedCase,ownedCase,Definition,CaseUsage,No,No,,Definition_ownedCalculation,<p>The code>CaseUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedConcern,https://www.omg.org/spec/SysML#Definition_ownedConcern,ownedConcern,Definition,ConcernUsage,No,No,,Definition_ownedRequirement,<p>The <code>ConcernUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedConnection,https://www.omg.org/spec/SysML#Definition_ownedConnection,ownedConnection,Definition,ConnectorAsUsage,No,No,,Definition_ownedPart,"<p>The <code>ConnectorAsUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>. Note that this list includes <code>BindingConnectorAsUsages</code> and <code>SuccessionAsUsages</code>, even though these are <code>ConnectorAsUsages</code> but not <code>ConnectionUsages</code>.</p>"
Definition_ownedConstraint,https://www.omg.org/spec/SysML#Definition_ownedConstraint,ownedConstraint,Definition,ConstraintUsage,No,No,,Definition_ownedOccurrence,<p>The <code>ConstraintUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedEnumeration,https://www.omg.org/spec/SysML#Definition_ownedEnumeration,ownedEnumeration,Definition,EnumerationUsage,No,No,,Definition_ownedAttribute,<p>The <code>EnumerationUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.<p>
Definition_ownedFlow,https://www.omg.org/spec/SysML#Definition_ownedFlow,ownedFlow,Definition,FlowConnectionUsage,No,No,,Definition_ownedConnection,<p>The <code>FlowConnectionUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedInterface,https://www.omg.org/spec/SysML#Definition_ownedInterface,ownedInterface,Definition,InterfaceUsage,No,No,,Definition_ownedConnection,<p>The <code>InterfaceUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedItem,https://www.omg.org/spec/SysML#Definition_ownedItem,ownedItem,Definition,ItemUsage,No,No,,Definition_ownedOccurrence,<p>The <code>ItemUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedMetadata,https://www.omg.org/spec/SysML#Definition_ownedMetadata,ownedMetadata,Definition,MetadataUsage,No,No,,Definition_ownedItem,<p>The <code>MetadataUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
Definition_ownedOccurrence,https://www.omg.org/spec/SysML#Definition_ownedOccurrence,ownedOccurrence,Definition,OccurrenceUsage,No,No,,Definition_ownedUsage,<p>The <code>OccurrenceUsages</code> that are <code>ownedUsages</code> of this <code>Definition</code>.</p>
